Row Labels,Sum of Freq,New Country Name
The Neveerlands,0%,Netherlands
Syrian Arab Republic,0%,Syria
United Kinkgdom,0%,United Kingdom
Yk,0%,NA
Switzerland 8022,0%,Switzerland
South Korean,0%,South Korea
The Philippines,0%,The Philippines
Zaire,0%,Zaire
United Kungdom,0%,United Kingdom
U.S.A.,0%,United States of America
United Mingdom,0%,United Kingdom
The Republic Of Gambia,0%,Gambia
Uae P.O. Box 506839,0%,United Arab Emirates
Northern Irish,0%,United Kingdom
Polesine Ro,0%,Italy
Singapore.,0%,Singapore
Rdc,0%,NA
Scotland Munited Kingdom,0%,United Kingdom
Rebublic Of Belarus,0%,Belarus
Qat,0%,Qatar
Renfrewshire,0%,United Kingdom
"Slovenia, 2341",0%,Slovenia
Rep Of Ireland,0%,Republic of Ireland
Norther Ireland,0%,United Kingdom
Monaco 98000,0%,Monaco
Scotland/Uk,0%,United Kingdom
Rep. De Panama,0%,Panama
Seyschelles,0%,Seychelles
Rep. Moldova,0%,Moldova
Singapore 179803,0%,Singapore
Rep. Of Marshall Isl,0%,Marshall Islands
Npl,0%,Nepal
Rep.Of Belarus,0%,Belarus
Perú,0%,Peru
Repablic Of Tajikistan,0%,Tajikistan
Netherland,0%,Netherlands
Repubic Of Belarus,0%,Belarus
Scotlan,0%,United Kingdom
Oxford,0%,United Kingdom
"Scotland, Uniited Kingdom",0%,United Kingdom
Nevis  West Indies,0%,Saint Kitts And Nevis
Scottland,0%,United Kingdom
Murcia,0%,Spain
Seychelies,0%,Seychelles
Paksitan,0%,Pakistan
"Moldova, Republic Of",0%,Moldova
Phillipines,0%,The Philippines
Singapore (049909),0%,Singapore
Nevis St Kitts And Nevs,0%,Saint Kitts And Nevis
Singapore 589626,0%,Singapore
Phl,0%,The Philippines
Slovak,0%,Slovakia
Republic Of Djibouti,0%,Djibouti
Quebec,0%,Canada
South America,0%,NA
Ras Al Khaimah,0%,United Arab Emirates
Republic Of Georgia,0%,Georgia
North Yorkshire,0%,United Kingdom
Republic Of Ierland,0%,Republic of Ireland
"Portugal, 1100-533",0%,Portugal
Republic Of India,0%,India
Sark,0%,UK offshore - unspecified 
Nevis West Indies,0%,Saint Kitts And Nevis
Scheychelles,0%,Seychelles
Republic Of Italy,0%,Italy
Principality Of Liechtenstein,0%,Liechtenstein
"Nevis, West Indies",0%,Saint Kitts And Nevis
"Scotland, Great Britain",0%,United Kingdom
New Zealamd,0%,New Zealand
Negara Brunei Darussalam,0%,Brunei
Republic Of Kyrgyzstan,0%,Kyrgyzstan
Philippines 1229,0%,The Philippines
Republic Of Macedonia,0%,Macedonia
Selangor,0%,Malaysia
Phlippines,0%,The Philippines
Serbija,0%,Serbia And Montenegro
Republic Of Marshall Islands,0%,Marshall Islands
Seychellles,0%,Seychelles
Me5 7lq,0%,United Kingdom
Sgp,0%,Singapore
"New Zealand, 7010",0%,New Zealand
Punjab,0%,India
Republic Of Montenegro,0%,Serbia And Montenegro
Singapore (048943),0%,Sinapore
Republic Of Niger,0%,Niger
Singapore 059108,0%,Singapore
"New Zealand,7020",0%,New Zealand
Singapore 575733,0%,Singapore
Republic Of Panaman,0%,Panama
Singapore 648305,0%,Singapore
P.R China,0%,China
Me2 4hn,0%,United Kingdom
Republic Of Saychelles,0%,Seychelles
Noway,0%,Norway
P R China,0%,China
Slovakia 83106,0%,Slovakia
Ni,0%,United Kingdom
Slovenia 6281,0%,Slovenia
Palestinian Territory,0%,Palestine
Phillapines,0%,The Philippines
Republic Of Slovakia,0%,Slovakia
Oceania,0%,NA
Pan,0%,Panama
Rcs Luxembourg,0%,Luxembourg
"Republic Of Tajikistan,",0%,Tajikistan
Mauritus,0%,Mauritius
Republic Of Tatarstan,0%,Russia
"P.R, China",0%,China
Republic Of The Congo,0%,Republic of Congo
San Marcos,0%,United States of America
Mexico 66001,0%,Mexico
"Sar, China",0%,China
Panama City,0%,Panama
Pr Of China,0%,China
Republic Of Trinidad & Tobago,0%,Trinidad And Tobago
Pricipality Of Monaco,0%,Monaco
Republic Of Turkey,0%,Turkey
Schweiz,0%,Switzerland
Nigeia,0%,Nigeria
Principality Of Andorra,0%,Andorra
Republic Of Vanuatu,0%,Vanuatu
Scotland G.B,0%,United Kingdom
Republic Of Yemen,0%,Yemen
Peoples' Republic Of China,0%,China
Republic Seychelles,0%,Seychelles
Mauritias,0%,Mauritius
Republica De Angola,0%,Angola
Netherland Antilles,0%,Netherlands Antilles
Republica De Panama,0%,Panama
"Scotland,Uk",0%,United Kingdom
Republica Dominicana,0%,Dominican Republic
Scotland175,0%,United Kingdom
Republica Maldovia,0%,Moldova
Scotlland,0%,United Kingdom
South Afria,0%,South Africa
Scychelles,0%,Seychelles
Moscow Federation,0%,Russia
Northern Irelland,0%,United Kingdom
South Africa 8000,0%,South Africa
Philippines 2009,0%,The Philippines
Philippine,0%,The Philippines
Servia,0%,Serbia And Montenegro
Reunion,0%,Reunion
Northumberland,0%,United Kingdom
Reunion Island,0%,Reunion
Seychells,0%,Seychelles
Rf,0%,NA
Seyshelles,0%,Seychelles
Monoco,0%,Monaco
Sharjah,0%,United Arab Emirates
România,0%,Romania
Signapore,0%,Singapore
Romania 2000,0%,Romania
Sinapore,0%,Singapore
"Room 205, Building 3, No. 30",0%,NA
Pepublic Of Panama,0%,Panama
Rossia,0%,Russia
Singapore (049315),0%,Singapore
Rsa,0%,Russia
Nottingham,0%,United Kingdom
N-Ireland,0%,United Kingdom
Singapore 068898,0%,Singapore
South Adrica,0%,South Africa
Singapore 569115,0%,Singapore
Po15 5jz,0%,United Kingdom
Singapore 579701,0%,Singapore
Russia 188501,0%,Russia
Singapore 609930,0%,Singapore
Russia 347381,0%,Russia
P. R. China,0%,China
"Mexico, 66001",0%,Mexico
Singapre,0%,Singapore
P R Of China,0%,China
Sl8 5ys,0%,United Kingdom
Russian  Federation,0%,Russia
Slovak Re[Public,0%,Slovakia
Russian Federatiom,0%,Russia
Slovak Republik,0%,Slovakia
North Cyprus,0%,Cyprus
Nt Hong Kong,0%,Hong Kong
Russian Russian,0%,Russia
Slovakian Republic,0%,Slovakia
Po6 3th,0%,United Kingdom
"Ramat Gan, 52346, Rehov Horgin Pinhas 2, , Israel,",0%,Israel
Peolple's Republic Of China,0%,China
"Slovenia,",0%,Slovenia
S Glam,0%,NA
"Slovenia, 4000",0%,Slovenia
S Wales,0%,United Kingdom
Solomon Islands,0%,Solomon Islands
S10 3ej,0%,United Kingdom
Somaliland,0%,Somaliland
Saint Christopher And Nevis,0%,Saint Kitts And Nevis
Somoa,0%,Samoa
People#'s Republic Of China,0%,China
Sough Korea,0%,South Korea
Mex,0%,Mexico
Saint Martin (French Part),0%,Saint Martin
Russia 115583,0%,Russia
South Africa 7441,0%,South Africa
Republik Of Tajikistan,0%,Tajikistan
South Africe,0%,South Africa
Reublic Of Belarus,0%,Belarus
Reublika Srbija,0%,Serbia And Montenegro
Republic Of Gambia,0%,Gambia
Liectenstein,0%,Liechtenstein
Kualalumpar,0%,Malaysia
Malaysia 42200,0%,Malaysia
"India, 671323",0%,India
League Of Arab State,0%,NA
"England, Uk",0%,United Kingdom
Greenland,0%,Greenland
England],0%,United Kingdom
"Guernsey, Channel Island",0%,Guernsey
Hing Kong - Far East,0%,Hong Kong 
Federation Of Saint Kitts And Nevis,0%,Saint Kitts And Nevis
Guertnsey,0%,Guernsey
Great Britain England,0%,United Kingdom
Estado De México,0%,Mexico
Ials Of Man,0%,Isle of Man
Gana,0%,Ghana
Madagasca,0%,Madagascar
"Gauteng, South Africa",0%,South Africa
Faore Islands,0%,Denmark
Iranian,0%,Iran
Gloucester,0%,United Kingdom
Englanf,0%,United Kingdom
Grand Cayman Ky1-1108,0%,Cayman Islands
France (Incl. Monaco),0%,Monaco
Latvia Lv-2011,0%,Latvia
Gb-Gbr,0%,United Kingdom
Francce,0%,France
Guerynsey,0%,Guernsey
Hrvatsko,0%,Croatia
Isel Of Man,0%,Isle of Man
Greater Manchster,0%,United Kingdom
Islamic Republic Of Iran,0%,Iran
"Luxembourg,",0%,Luxembourg
Isle Fo Man,0%,Isle of Man
Engsland,0%,United Kingdom
Isle Of Lewis,0%,Isle of Lewis
Malasyia,0%,Malaysia
Isle Of Ma,0%,Isle of Man
Guam,0%,Guam
Englans,0%,United Kingdom
Farot Islands,0%,Denmark
Isle Of Man (Im1 1jd),0%,Isle of Man
Korea (Republic Of),0%,South Korea
"Guerney, Channel Islands",0%,Guernsey
"Hong Kong. Sar, China",0%,Hong Kong
"Isle Of Man, Im1 2sh",0%,Isle of Man
Kyrghyz Republic,0%,Kyrgyzstan
France Metropolitan,0%,France
Guernset,0%,Guernsey 
Isle Of Man],0%,Isle of Man
Lativa,0%,Latvia
Guerns,0%,Guernsey
Federation Of St. Kitts & Nevis,0%,Saint Kitts And Nevis
Isle Of Mans,0%,Isle of Man
Haiti,0%,Haiti
Isle Of Msn,0%,Isle of Man
Lesotho,0%,Lesotho
French,0%,France
Great Virgin Islands,0%,US Virgin Islands
F,0%,F
G.D. Of Luxembourg,0%,Luxembourg
Israel 59305,0%,Israel
Hyogo Japan,0%,Japan
French Guiana,0%,French Guiana
Ltd,0%,NA
Eritrea,0%,Eritrea
Luxemboug,0%,Luxembourg
Ger,0%,Germany
Im1 2pt,0%,United Kingdom
Germamy,0%,Germany
M,0%,NA
Ivory Coast (Cote D'Lvoire),0%,Ivory Coast
Gt Britain,0%,United Kingdom
Izrael,0%,Israel
Mahe,0%,Seychelles
Izreal,0%,Israel
Malaya,0%,Malaysia
German,0%,Germany
Indai,0%,India
English,0%,United Kingdom
Finland 02330,0%,Finland
Germany 40217,0%,Germany
English Channel,0%,United Kingdom
Japan 100-8253,0%,Japan
"Hong Kong, Sar",0%,Hong Kong
Japan 104-0043,0%,Japan
Gilbralter,0%,Gibraltar
Japan 107-0052,0%,Japan
Giraltar,0%,Gibraltar
Japan 169-0051,0%,Japan
Krygyzstan,0%,Krygyzstan
Japan 366-0825,0%,Japan
Kuala Lumpur,0%,Malaysia
Hong Kong Hk051,0%,Hong Kong
Hong Konh,0%,Hong Kong
"Japan, 100-0005",0%,Japan
Hong Konk,0%,Hong Kong
"Japan, 100-6150",0%,Japan
"Grand Cayman, Cayman Islands",0%,Cayman Islands
"Japan, 100-8631",0%,Japan
Grand Duchy Of Luxemboug,0%,Luxembourg
"Japan, 105-0011",0%,Japan
Lao,0%,Laos
Malta Hmr1556,0%,Malta
Grand Duchy Ofluxembourg,0%,Luxembourg
"Malta, Scm1001",0%,Malta
Latvia Lv-5015,0%,Latvia
Japan.,0%,Japan
Hong-Kong,0%,Hong Kong
Japon,0%,Japan
Lebanese,0%,Lebanon
Jeresy,0%,Jersey
Leicestershire,0%,United Kingdom
Jerse,0%,Jersey
Lenanon,0%,Lebanon
Jersery,0%,Jersey
Lesser Antilles,0%,Antilles - unspecified
Jersesy,0%,Jersey
Great Britian,0%,United Kingdom
Gernamy,0%,Germany
Lichtenstein 9494,0%,Liechtenstein
Jersey - Channel Isl,0%,Jersey 
"Guernsey, Gy1 4hy",0%,Guernsey 
Geurnsey,0%,Guernsey 
Liechtenstien,0%,Liechtenstein
Jersey C.I.,0%,Jersey
Lincolnshire,0%,United Kingdom
Jersey Chanel Islands,0%,Jersey
Ll18 3db,0%,United Kingdom
Jersey Channel Island,0%,Jersey 
London - England,0%,United Kingdom
Hong Kong S.A.R,0%,Hong Kong
Lu7 2re,0%,United Kingdom
Jersey Ci,0%,Jersey
Ibiza,0%,Ibiza
Jersey Je1 8ft,0%,Jersey
Englands,0%,United Kingdom
"Jersey,  Channel Islands",0%,Jersey
Luxembourg.,0%,Luxembourg
French West Indies,0%,Antilles - unspecified
Luxembrg,0%,Luxembourg
Falkland Islands Fiqq 1zz,0%,United Kingdom
Lyahovichy,0%,Belarus
"Jersey, United Kingdom",0%,Jersey 
M3 3st,0%,United Kingdom
Jersy,0%,Jersey
Gribraltar,0%,Gibraltar
Jersye,0%,Jersey
Macedonia (Fyr),0%,Macedonia
Jiangsu Province,0%,China
Gu27 1hd,0%,United Kingdom
Hong Kong Sar People's Republic Of China,0%,Hong Kong
Majorca,0%,Spain
Finlandd,0%,Finland
Gu4 8al,0%,United Kingdom
Kasakhstan,0%,Kazakhstan
Ind,0%,India
Gib,0%,Gibraltar
Malaysia 47410,0%,Malaysia
Kazakhstan111500,0%,Kazakhstan
Guernsy,0%,Guernsey
"Guernsey, Chanel Islands",0%,Guernsey
Marshall Isalnds,0%,Marshall Islands
Kenia,0%,Kenya
India 400 021,0%,India
Gibralta,0%,Gibraltar
"Japan, 141-8603",0%,Japan
Guerney,0%,Guernsey
"Japan, Tokyo",0%,Japan
England Gb,0%,United Kingdom
India  500 074,0%,India
Democratic Republic Of The Congo,0%,Democratic Republic Of Congo
Antarctica,0%,Antarctica
Endland,0%,United Kingdom
Britishvirgin Island,0%,British Virgin Islands
Cymru / Wales,0%,United Kingdom
Bahrein,0%,Bahrain
Bhs,0%,The Bahamas
England G.B.,0%,United Kingdom
Common Wealth Of Dominica,0%,Dominica
Britsh Isles,0%,United Kingdom
British Virgin Islands 957,0%,British Virgin Islands
Britsih Virgin Islands,0%,British Virgin Islands
D,0%,NA
Brtish Virgin Islands,0%,British Virgin Islands
British Virgin Isle,0%,British Virgin Islands
Bcd,0%,NA
Egyot,0%,Egypt
Brunei Darrusalam,0%,Brunei
British Virrgin Islands,0%,British Virgin Islands
Bedfordshire,0%,United Kingdom
British Virgi,0%,British Virgin Islands
Btitish Virgin Islands,0%,British Virgin Islands
B.V.I,0%,British Virgin Islands
Buckinghamshire,0%,United Kingdom
Bermuda Hm12,0%,Bermuda
Brithish Virgin Islands,0%,British Virgin Islands
"British Virgin Islands,",0%,British Virgin Islands
Bui,0%,NA
Delaware - Usa,0%,United States of America
510280 China,0%,China
Djibouti,0%,Djibouti
Bulgaria 1142,0%,Bulgaria
Dubai U.A.E,0%,United Arab Emirates
Bulgaria.,0%,Bulgaria
Blz,0%,Belize 
Bulgarian,0%,Bulgaria
Brisiths Isles,0%,United Kingdom
Bunited Kingdom,0%,United Kingdom
Bosnia Herzevogina,0%,Bosnia And Herzegovina
Belarussia,0%,Belarus
Colombia 111321,0%,Colombia
Belgie,0%,Belgium
Bangedesh,0%,Bangladesh
Bv!,0%,British Virgin Islands
Belsize,0%,Belize 
103-8686 Japan,0%,Japan
"British Virgin Island, British Virgin Island",0%,British Virgin Islands
Britisg Virgin Islands,0%,British Virgin Islands
Autonom Republic Of Crimea,0%,Crimea
Calais,0%,France
Bermuda Hm08,0%,Bermuda
Azarbaijan Republic,0%,Azerbaijan
Cv32by,0%,United Kingdom
7 Rue Robert Stumper,0%,Luxembourg
1067590321,0%,NA
Cambridgehsire,0%,United Kingdom
Argentna,0%,Argentina
Cambridgeshire,0%,United Kingdom
"Bermuda, Hm 11",0%,Bermuda
Cambs,0%,United Kingdom
Demark,0%,Denmark
Alderney Channel Islands,0%,UK offshore - unspecified 
Armania,0%,Armenia
100048,0%,United States of America
Berrmuda,0%,Berrmuda
Cananda,0%,Canada
Bgr,0%,Bulgaria
England / Uk,0%,United Kingdom
Dubai Uea,0%,United Arab Emirates
10022,0%,United States of America
British Virgin Isles Vg1110,0%,British Virgin Islands
122154,0%,United States of America
Ec2a 4ne,0%,United Kingdom
British    Virgin Islands,0%,British Virgin Islands
Bn21 4ru,0%,United Kingdom
British Anguilla,0%,Anguilla
En1 3ld,0%,United Kingdom
Cayman  Islands,0%,Cayman Islands
Engaln,0%,United Kingdom
"Bahrain,340",0%,Bahrain
Englan D,0%,United Kingdom
"B V I, Foreign",0%,British Virgin Islands
Ballearics Spain,0%,Spain
Cayman Islands Bwi,0%,Cayman Islands
Columbia,0%,Colombia
"Cayman Islands,",0%,Cayman Islands
Anquilla,0%,Anquilla
Cayman Islands.,0%,Cayman Islands
Comoros,0%,Comoros
Cayman Uslands,0%,Cayman Islands
Bangkok,0%,The Philippines
British Crown Dependancy,0%,UK offshore - unspecified 
98000,0%,Monaco
Cb22 6ta,0%,United Kingdom
British Virgin Island Foreign,0%,British Virgin Islands
Central,0%,NA
British Virgin Islandds,0%,British Virgin Islands
Belguin,0%,Belgium
County Durham,0%,United Kingdom
Central Hong Kong,0%,Hong Kong
Azerbaijan Republic,0%,Azerbaijan
Cf10 1dy,0%,United Kingdom
A,0%,NA
Belieze,0%,Belize
"Bangladesh, Dhaka",0%,Bangladesh
British Crown Dependency,0%,UK offshore - unspecified 
Antilles,0%,Antilles - unspecified
Channe; Islands,0%,UK offshore - unspecified 
Are,0%,NA
Channel Isalnds,0%,UK offshore - unspecified 
Cymru/Wales,0%,United Kingdom
Amsterdam,0%,Netherlands
Cypus,0%,Cyprus
Andora,0%,Andorra
Czech,0%,Czech Republic
Channel Islands Jersey,0%,Jersey
Czexh Republic,0%,Czech Republic
"Channel Islands, Uk",0%,UK offshore - unspecified 
Dagestan,0%,Russia
"Channel Islands, United Kingdom",0%,UK offshore - unspecified 
De7 4pj,0%,United Kingdom
Channel Islandss,0%,UK offshore - unspecified 
Delegación Miguel Hidalgo,0%,Mexico
Beliz,0%,Belize
British Virgin Islansa,0%,British Virgin Islands
98000 Monaco,0%,Monaco
Armagh,0%,United Kingdom
200070,0%,NA
District Of China,0%,China
England  Uk,0%,United Kingdom
Dm,0%,Dominica
England (Uk),0%,United Kingdom
Aruba,0%,Aruba
250132,0%,United States of America
"Douglas, Isle Of Man",0%,Isle of Man
China  Prc,0%,China
Dubai - United Arab Emirates,0%,United Arab Emirates
British Crown Dependency In The English Channel,0%,UK offshore - unspecified 
Bh6 5ef,0%,United Kingdom
British Indian Ocean Territory,0%,UK offshore - unspecified 
"Dubai, U.A.E",0%,United Arab Emirates
Belize C.A.,0%,Belize
Bangor,0%,United Kingdom
"Belize, Central America",0%,Belize 
Eae,0%,United Arab Emirates
China 311202,0%,China
East Yorkshire,0%,United Kingdom
China Hong Kong,0%,Hong Kong
Auckland,0%,New Zealand
China Sar,0%,China
Aunited Arab Emirate,0%,United Arab Emirates
"China,",0%,China
B37 7dl,0%,United Kingdom
"Brazil, 04543-900",0%,Brazil
Empire Of Japan,0%,Japan
432708,0%,United States of America
Bosnia & Herzegovina,0%,Bosnia And Herzegovina
China.  100010,0%,China
British Virgins Islands,0%,British Virgin Islands
"Abudhabi, Uae",0%,United Arab Emirates
0250 Oslo,0%,Norway
Chinia,0%,China
Engl,0%,United Kingdom
"British Isles, Isle Of Man",0%,Isle of Man
Englanad,0%,United Kingdom
Chorley,0%,United Kingdom
225-002 Japan,0%,Japan
Cocos (Keeling) Islands,0%,Cocos Islands
Chhanel Islands,0%,UK offshore - unspecified 
Bovis Homes Limited,0%,NA
Andorra Ad700,0%,Andorra
Cannel Islands,0%,UK offshore - unspecified 
Britishvirginisland,0%,British Virgin Islands
2106,0%,NA
Britishvirginislands,0%,British Virgin Islands
