Row Labels,Sum of Freq,New Country Name
Ukraina,0%,Ukraine
Switserland,0%,Switzerland
Swizterland,0%,Switzerland
Switzerland 1208,0%,Switzerland
Un,0%,NA
Uniteed Kingdom,0%,United Kingdom
Wales.,0%,United Kingdom
Uniter Kingdom,0%,United Kingdom
Wc1n 2eb,0%,United Kingdom
Unitied Kingdom,0%,United Kingdom
United,0%,NA
Unnited Kingdom,0%,United Kingdom
The Czech Republic,0%,Czech Republic
Untied Kingdom,0%,United Kingdom
United Ingdom,0%,United Kingdom
Upper Volta,0%,Burkina Faso
Worcester,0%,United Kingdom
"Switzerland, 1884",0%,Switzerland
State Of Kuwait,0%,Kuwait
"Taiwan, Republic Of China",0%,Taiwan
United Kinfgdom,0%,United Kingdom
Staffordshire,0%,United Kingdom
United Kingadom,0%,United Kingdom
Uk South Wales,0%,United Kingdom
Nth. Wales,0%,United Kingdom
"Scotland, United Kindgom",0%,United Kingdom
Saudi Arab,0%,Saudi Arabia
Please Enter Country,0%,NA
Morroco,0%,Morocco
Please Select,0%,NA
Northamtonshire,0%,United Kingdom
Principat D'Andorra,0%,Andorra 
Northern Cyprus,0%,Cyprus
Mumbai,0%,India
Scotland-Uk,0%,United Kingdom
Principauty Of Monaco,0%,Monaco
Norwegian,0%,Norway
Ramsey,0%,United Kingdom
Slovenija,0%,Slovenia
Palau,0%,Palau
Northants,0%,United Kingdom
Republic Of Croatia,0%,Croatia
Saudia Arabia,0%,Saudi Arabia
Republic Of Maldives,0%,Maldives
"Mexico, D.F.",0%,Mexico
Nga,0%,Nigeria
"Northern Ireland, Uk",0%,United Kingdom
Papua New Guinea,0%,Papua New Guinea
Serbia And Montenegro,0%,Serbia And Montenegro
Philapines,0%,Philippines
N.Ireland,0%,United Kingdom
Russina Federation,0%,Russia
Nottinghamshire,0%,United Kingdom
People’S Republic Of China,0%,China
Slovenia 6000,0%,Slovenia
Saint Vincent And Grenadines,0%,Saint Vincent And The Grenadines
Somalia,0%,Somalia
Northamptonshire,0%,United Kingdom
Nives,0%,Belgium
Hong Kong Special Administrative Region Of The Prc,0%,Hong Kong
Kirgizstan,0%,Kyrgyzstan
Guinea-Bissau,0%,Guinea-Bissau
Espana,0%,Spain
Hong   Kong,0%,Hong Kong
Florida,0%,United States of America
Englnd,0%,United Kingdom
Hr4 9nt,0%,United Kingdom
Jpn,0%,Japan
Hu15 2fx,0%,United Kingdom
Kt6 5lr,0%,United Kingdom
Marshal Islands,0%,Marshall Islands
Le,0%,NA
Gwent,0%,United Kingdom
Liechtenstain,0%,Liechtenstein
Gabonese Republic,0%,Gabon
Luxemborg,0%,Luxembourg
Enland,0%,United Kingdom
Ghanaian,0%,Ghana
Luxembourgh,0%,Luxembourg
Honduras,0%,Honduras
Hants,0%,United Kingdom
Fed. St Kitts & Nevis,0%,Saint Kitts And Nevis
Maldives,0%,Maldives
Gloucestershire,0%,United Kingdom
Equatorial Guinea,0%,Equatorial Guinea
Hong King,0%,Hong Kong
Isle Of Mann,0%,Isle of Man
England X,0%,United Kingdom
Geneva,0%,Switzerland
Liechenstein,0%,Liechtenstein
Isreael,0%,Israel
"Guernsey, C.I.",0%,Guernsey
Guernsey Channel Islands,0%,Guernsey
Lux,0%,Luxembourg
Japan 612-8501,0%,Japan
Fiji Islands,0%,Fiji
Hkg,0%,Hong Kong
"Jersey, C.I.",0%,Jersey
Malaysia.,0%,Malaysia
"Ireland, Republic Of",0%,Republic Of Ireland
Mallorca,0%,Spain
"Isle Of Man, British Isles",0%,Isle of Man
Guensey,0%,Guensey
Cyrprus,0%,Cyprus
"Congo, The Democratic Republic Of The",0%,Democratic Republic Of Congo
Belorussia,0%,Belarus
Britian,0%,United Kingdom
Cote Divoire,0%,Ivory Coast
19904,0%,United States of America
E,0%,NA
Bali,0%,Bali
Commonwealth Of The Bahamas,0%,The Bahamas
British Virgin Lslands,0%,British Virgin Islands
Cornwall,0%,United Kingdom
Bath,0%,United Kingdom
Antigua & Barbuda,0%,Antigua And Barbuda
Beijing,0%,China
Ascension Island,0%,UK offshore - unspecified 
98005,0%,United States of America
Austalia,0%,Australia
C.I.,0%,UK offshore - unspecified 
Angus,0%,NA
California,0%,United States of America
Congo,0%,Democratic Republic Of Congo
Caribbean,0%,NA
Cook Island,0%,Cook Islands
Cayman,0%,Cayman Islands
Bemuda,0%,Bermuda
"Belgium, 1651",0%,Belgium
Cri,0%,NA
Caymen Islands,0%,Cayman Islands
Bermuda Hm11,0%,Bermuda
Chanel Isles,0%,UK offshore - unspecified 
"Bermuda, Hm11",0%,Bermuda
China (Hong Kong),0%,Hong Kong
Bl1 4by,0%,United Kingdom
China (Hongkong),0%,Hong Kong
Emgland,0%,United Kingdom
Belorus,0%,Belarus
Austrailia,0%,Australia
Chinese,0%,China
Aberdeenshire,0%,United Kingdom
Virgin British Islands,0%,British Virgin Islands
The United Arab Emirates,0%,United Arab Emirates
Worcestershire,0%,United Kingdom
Svizzera,0%,Switzerland
Usa 06896 1006,0%,United States of America
Taiwan (Roc),0%,Taiwan
St. Kitts,0%,Saint Kitts And Nevis
Taiwan 00510,0%,Taiwan
Spain.,0%,Spain
Uited Kingdom,0%,United Kingdom
Unted Kingdom,0%,United Kingdom
Ujk,0%,United Kingdom
Valencia,0%,Spain
Taiwan 324,0%,Taiwan
Tunisie,0%,Tunisia
Svn,0%,Slovenia
Syc,0%,Seychelles
Sw11 3rf,0%,United Kingdom
Yugoslavia,0%,NA
Sw1x 0as,0%,United Kingdom
The Ukrain,0%,Ukraine
"Taiwan, R.O.C",0%,Taiwan
Unitrd Kingdom,0%,United Kingdom
Uk.,0%,United Kingdom
Uruguary,0%,Uruguay
Uk/England,0%,United Kingdom
Uzbekista,0%,Uzbekistan
Uk7777788888416-,0%,United Kingdom
Vg1110 (British Virgin Islands),0%,British Virgin Islands
Uk-England,0%,United Kingdom
Virgin Islands (U.S.),0%,US Virgin Islands
St Kitts,0%,Saint Kitts And Nevis
Turkey 3420,0%,Turkey 
St Kitts And Nevis West Indies,0%,Saint Kitts And Nevis
West Malaysia,0%,Malaysia
Sweeden,0%,Sweden
Western Sahara,0%,Western Sahara
Switcherland,0%,Switzerland
Yeovil,0%,United Kingdom
Ukranie,0%,Ukraine
Zuid-Korea,0%,South Korea
St Vincent & The Grenadines,0%,Saint Vincent And The Grenadines
United States Of Amercia,0%,United States of America
Unated States Of America,0%,United States of America
Unitedarabemirates,0%,United Arab Emirates
Stirlingshire,0%,United Kingdom
The United Kingdom,0%,United Kingdom
Uni,0%,NA
Unity Kingdom,0%,United Kingdom
Unied Arab Emirates,0%,United Arab Emirates
Unuted Kingdom,0%,United Kingdom
Suadi Arabia,0%,Saudi Arabia
Us Virgin Isles,0%,US Virgin Islands
Union Arab Emirates,0%,United Arab Emirates
Utter Pradesh,0%,India
Unired Kingdom,0%,United Kingdom
"Uzbekistan,",0%,Uzbekistan
Unitd Kingdom,0%,United Kingdom
"Switzerland, 1854",0%,Switzerland
Unite Dkingdom,0%,United Kingdom
Switzweland,0%,Switzerland
Teesside,0%,United Kingdom
Switzwerland,0%,Switzerland
Switxerland,0%,Switzerland
Tunisia 2073,0%,Tunisia
Tenerife / Spain,0%,Spain
Turk And Caicos Islands,0%,Turks And Caicos Islands
United Arab Amirates,0%,United Arab Emirates
"Turkish Replublic, Northern Cyprus",0%,Cyprus
United Arab Emeriates,0%,United Arab Emirates
West Australia,0%,Australia
United Arab Emirat,0%,United Arab Emirates
